original_index,sms_text,predicted_is_otp,predicted_otp_intent,classification_status,batch_number,is_phishing_original,sender
29366,"Your appointment request has been received. REQUESTED Appointment ID: 15483124 for September 21, 2022 at 10:00 AM with Dr. Aniruddh T Jagannath at Aster RV Hospital. PLEASE NOTE THAT THIS IS NOT A CONFIRMED APPOINTMENT. You will receive communication from Aster RV Hospital regarding the status of your request. You can call Practo on +918049475035 for any further clarification or questions. 
Need help with your request? Visit page http://prac.to/arocMUKJ
- Practo",False,NOT_OTP,auto_not_otp,33,True,QPPRACTO
26411,Hi! Avoid late payment fee of Rs.27 by paying your Vi Bill of Rs.938.77 before 05/05/2022. To Pay now Click https://bit.ly/VIPayBill2. Ignore if already paid.,False,NOT_OTP,auto_not_otp,27,True,
54684,The all new Domino's has an all new number! Call us on 1860 210 0000 from 11 am to 11 pm for your favourite pizza!,False,NOT_OTP,auto_not_otp,3,False,
1695,"Dear Customer,
Thank you for choosing Licious. Your order jgvfluvnvtoi will be delivered by 11:01 AM. -Licious",False,NOT_OTP,success,2,False,VA-LICOUS-S
40136,later ll sorry,False,NOT_OTP,auto_not_otp,54,False,
17388,"Please click on the below link to get your FnB transaction receipt https://cutt.ly/hwDTWfzi . Transaction No: 7841623, TotalAmount:260 at POS:PVR VEGA MALL,BENGALURU, Thanks for Choosing PVR Cinemas",False,NOT_OTP,auto_not_otp,9,True,VK-PVRCIN
41329,dad staying,False,NOT_OTP,auto_not_otp,56,False,
34854,Your payment on Amazon.in for Rs. 96.08 using Amazon Pay balance is successful. Your balance is now Rs. 3.82. For help/stmt: www.amazon.in/cstxn,False,NOT_OTP,auto_not_otp,43,False,
20763,Acct XXX702 debited with INR42.97 on 03-Dec-19 and bharatpe09899148115@yesbankltd credited.Info:UPI-933716309044.Call 18002662 for dispute or SMS BLOCK 696 to 5900232221,False,NOT_OTP,auto_not_otp,15,True,
57499,"Rs 0368 withdrawn at SBG ATM  S10F200912001  SBH-ACC LTD-MANCHERIAL , MANCHERIAL from A/c xxxx 1710 on 221216.Txn#2699 .Avl bal Rs 76874.33. Free SBG ATM txns if AMB>25000.",False,NOT_OTP,auto_not_otp,9,False,
64648,No,False,NOT_OTP,auto_not_otp,23,False,+917019137405
3494,"Dear Lavina Ratanlal Mahbubani, Your vaccination is scheduled for 10-05-2021 11:00AM-12:00PM at Bowring Hospital Covishield 18 ,Your booking reference ID is 95124933860360 and your 4 digits secret code for vaccination is 0360 - CoWIN",True,DELIVERY_OR_SERVICE_OTP,success,1,False,+919513908010
45556,25p date dating fancy flirt freemsg join just mobile msgs optout rcvd reply service stop txt,False,NOT_OTP,auto_not_otp,65,True,
36877,"Trusted by 50000+ Sellers
Same/Next Day Delivery across 27000+ pin codes
17+ courier @23/500gm 
Get your Free account > https://bit.ly/35KCgrG",False,NOT_OTP,success,48,True,ADSHIPRT
44167,day dont giving god great knew looked miracle model really reason role say ve wish,False,NOT_OTP,auto_not_otp,62,False,
54978,Say hello to Vodafone in AP and Telangana. BEST ROAMING OFFERS are here! Dial *121*121# to know more.,False,NOT_OTP,auto_not_otp,4,False,
24410,"Dear Customer, your ICICI Bank FASTag Customer ID 16219891 has been activated on 07/09/2021 16:30:07.You can start using your Tag immediately after you receive it.",False,NOT_OTP,auto_not_otp,23,False,VM-ICICIB
58159,"92603 is your One Time Password(OTP) for Jio Join.
Please enter the OTP to continue registration.",True,GENERIC_APP_ACTION_OTP,success,10,True,
58510,"965356 is your one time password and it is valid for the next 15 mins. Please do not share this OTP with anyone. Thank you, redBus.",True,DELIVERY_OR_SERVICE_OTP,success,11,False,
synthetic_APP_ACCOUNT_CHANGE_OTP_7b75661a,"PNB Account Change OTP: 3158. Not shareable with anyone, use within the hour.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False,
synthetic_GENERIC_APP_ACTION_OTP_c13c1be6,Transaction verification OTP: 2199. Protect yourself by keeping this code confidential.,True,GENERIC_APP_ACTION_OTP,synthetic,synthetic,False,
68961,ఈ పాట చాలా బాగా నచ్చింది అన్నవాల్లు ఒక like వేసుకోండి,False,NOT_OTP,auto_not_otp,32,False,
54083,यदि आपको किसी स्थिति में सही शब्द नहीं मिल पा रहे हैं तो बस उस व्यक्ति को गले लगा लें। शब्दों में भ्रमित करने की क्षमता होती है लेकिन गले मिलना कभी झूठ नहीं बोलता....,False,NOT_OTP,auto_not_otp,2,False,
synthetic_DELIVERY_OR_SERVICE_OTP_932d1c5c,Service visit OTP from Airtel: 7654. Only share with authorized personnel; do not disclose to strangers,True,DELIVERY_OR_SERVICE_OTP,synthetic,synthetic,False,
24851,"Dear Customer, your payment of Rs 610.64 for Youtube, as per Standing Instruction VkiVm1jJlQ, is due by 18/05/2022 and will be debited through your ICICI Bank Credit Card 5444. To cancel this debit or your Standing Instruction, please visit www.icicibank.com-Cards-Credit Cards-Standing Instruction & Recurring Charges-Manage Standing Instructions.",False,NOT_OTP,auto_not_otp,23,True,
58058,Your unique verification code for Olacabs is 2138. Thank you.,True,DELIVERY_OR_SERVICE_OTP,success,10,False,
55376,"Weekend Special!Jeet Sakte Hai 500 Rupaye Ka Free Recharge! Khoon Kis Rang Ka Hota Hai?
A)Laal
B)Peeela.
Reply A or B Rs.Five/SMS or Dial 567899 Toll Free",False,NOT_OTP,auto_not_otp,4,True,
synthetic_APP_ACCOUNT_CHANGE_OTP_917713a7,Update your phone number via BookMyShow. OTP: 7654. Don't share with others; it's confidential.,True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False,
48075,08000930705 750 anytime camcorder delivery free half handset line mins months network new phone price rental reply text tomorrow video want,False,NOT_OTP,auto_not_otp,70,True,
synthetic_FINANCIAL_LOGIN_OTP_b3c55ad4,Your Bank of Baroda online banking OTP is: 92123456. Validity: 30 minutes. Be vigilant!,True,FINANCIAL_LOGIN_OTP,synthetic,synthetic,False,
45892,girls waiting,False,NOT_OTP,auto_not_otp,66,True,
19107,"INR 366.19 spent on ICICI Bank Card XX2815 on 08-Jul-23 at IND*Amazon.in. Avl Lmt: INR 4,33,288.04. To dispute,call 18002662/SMS BLOCK 7007 to 8679723604",False,NOT_OTP,auto_not_otp,12,False,
71007,"ഇത്രയും പൊളപ്പൻ പാട്ട്, കല്യാണ വീട്ടിൽ ഇട്ടു തുള്ളാൻ പറ്റില്ലല്ലോ എന്നൊരു സങ്കടം. 🤣കാർന്നൊന്മാർ മടലിനടിക്കും 🤣🤣",False,NOT_OTP,auto_not_otp,36,False,
71707,ಸೂಪರ್ ಸರ್ 😍😂😂,False,NOT_OTP,auto_not_otp,37,False,
synthetic_APP_ACCOUNT_CHANGE_OTP_3d170024,"ICICI Bank profile picture change OTP is 2198. Do not share with anyone, valid for a short time only.",True,APP_ACCOUNT_CHANGE_OTP,synthetic,synthetic,False,
25225,"INR 632.98 spent on ICICI Bank Card XX8188 on 05-Sep-22 at DAILYDEL SOLUTI. Avl Lmt: INR 6,97,094.74. To dispute,call 18002662/SMS BLOCK 7007 to 4679768930",False,NOT_OTP,auto_not_otp,24,False,
27477,Your eatfit.in order has just left our kitchen and will be delivered in 27 mins.,False,NOT_OTP,auto_not_otp,29,False,VM-CFOODS
19553,"Dear Customer, your ICICI Bank Account XX963 has been credited with INR 5,567.11 on 17-Sep-21. Info:EBA*MF-AXIS A-109012205*20210917113. The Available Balance is INR 51,388.62.",False,NOT_OTP,auto_not_otp,13,False,
41184,ok yup,False,NOT_OTP,auto_not_otp,56,False,
22720,"Dear Customer, INR 7,689.62 is debited on ICICI Bank Credit Card XX5533 on 12-Jun-21. Info: Swiggy. Available Limit: INR 62,762.76. Call on 18002662 for dispute or SMS BLOCK 7007 to 8891385501.",False,NOT_OTP,auto_not_otp,19,False,
61169,No,False,NOT_OTP,auto_not_otp,16,False,+917019137405
71426,"ಪರಮಾತ್ಮ ಎಲ್ಲಿದ್ದಾನೆ ಹೇಳಲಾಗುವುದಿಲ್ಲ. ಕಲ್ಲಿನಲ್ಲಿರುವ ಹಾಗೆ, ಎಳ್ಳಿನಲ್ಲಿರುವ ಎಣ್ಣೆಯ, ಹಾಲಿನಲ್ಲಿರುವ ತುಪ್ಪದ ಹಾಗೆ ನಿನ್ನಲ್ಲಿಯೇ. ಗುರುತಿಸ್ತು! ಶುಭೋದಯ ಆಧ್ಯಾತ್ಮ # *",False,NOT_OTP,auto_not_otp,37,False,
